Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A,Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid,NIH_Food_Group
Cockles,Seafood,30.0,79.0,47.0,,,7.0,,,16.0,,,47.0,,,,,,,14.0,,,,,,,1.0,,2.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Foods
Devilfish,Seafood,12.0,97.0,0.0,,,53.0,,,4.0,,,0.0,,,,3.0,,,12.0,,,,,1020.0,,9.0,,1.0,11.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Foods
Pike,Seafood,28.0,156.0,43.0,,,8.0,,,21.0,,,43.0,,,,412.0,,,17.0,,,,,860.0,,1.0,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Foods
Sea cucumber,Seafood,30.0,56.0,0.0,,,4.0,,,6.0,,,0.0,,,,,,,13.0,,,,,310.0,,5.0,,94.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Foods
Steelhead trout,Seafood,30.0,159.0,0.0,59.0,6.0,83.0,0.0,,64.0,25.0,22.0,0.0,54.0,13.0,38.0,249.0,12.0,365.0,21.0,15.0,26.0,118.0,,65.0,20.0,,58.0,,,,,0.0,57.0,,0.0,,,,,1.0,,,0.0,0.0,,,,15.0,22.0,0.0,5.0,1.0,0.0,,,,,Protein Foods
Scallop,Seafood,10.0,111.0,54.0,41.0,3.0,84.0,0.0,20.0,58.0,37.0,8.0,54.0,1.0,1.0,7.0,426.0,22.0,314.0,21.0,22.0,22.0,667.0,1.0,5.0,2.0,1.0,22.0,2.0,11.0,37.0,11.0,0.0,16.0,111.0,0.0,31.0,69.0,12.0,13.0,3.0,49.0,6.0,37.0,0.0,63.0,17.0,65.0,0.0,0.0,0.0,,0.0,,,,,,Protein Foods
Blue cheese,Dairy,528.0,353.0,23.0,75.0,4.0,29.0,0.0,36.0,31.0,23.0,78.0,23.0,0.0,0.0,0.0,387.0,8.0,256.0,21.0,19.0,15.0,1146.0,,721.0,198.0,3.0,12.0,38.0,1.0,17.0,17.0,0.0,27.0,15.0,,76.0,11.0,19.0,19.0,1.0,58.0,11.0,,5.0,79.0,31.0,16.0,5.0,25.0,24.0,,,,,,,,Dairy
Brie,Dairy,184.0,334.0,45.0,100.0,2.0,28.0,0.0,65.0,5.0,20.0,8.0,45.0,0.0,0.0,0.0,188.0,83.0,152.0,21.0,17.0,15.0,629.0,,592.0,174.0,7.0,17.0,52.0,38.0,69.0,24.0,0.0,24.0,15.0,,72.0,1.0,19.0,19.0,3.0,59.0,12.0,,45.0,75.0,32.0,13.0,5.0,24.0,23.0,,,,,,,,Dairy
Camembert,Dairy,388.0,300.0,46.0,72.0,2.0,24.0,0.0,62.0,33.0,20.0,7.0,46.0,0.0,0.0,0.0,347.0,72.0,187.0,20.0,15.0,15.0,842.0,,820.0,241.0,3.0,13.0,49.0,63.0,14.0,23.0,0.0,24.0,15.0,,68.0,97.0,18.0,18.0,4.0,57.0,11.0,,46.0,72.0,31.0,13.0,4.0,21.0,2.0,,,,,,,,Dairy
Cheese,Dairy,710.0,404.0,31.0,99.0,3.0,33.0,0.0,27.0,14.0,27.0,92.0,31.0,0.0,2.0,1.0,455.0,14.0,76.0,23.0,19.0,29.0,653.0,92.0,1242.0,330.0,3.0,11.0,43.0,6.0,41.0,7.0,0.0,36.0,17.0,0.0,55.0,12.0,19.0,1.0,3.0,55.0,11.0,,48.0,1.0,55.0,14.0,6.0,71.0,24.0,,1.0,,,,,,Dairy
Cottage cheese,Dairy,83.0,98.0,34.0,17.0,3.0,43.0,0.0,12.0,7.0,8.0,78.0,34.0,0.0,0.0,0.0,159.0,12.0,104.0,11.0,17.0,97.0,364.0,,140.0,37.0,3.0,43.0,16.0,1.0,56.0,5.0,0.0,4.0,18.0,0.0,33.0,59.0,11.0,93.0,0.0,27.0,58.0,,27.0,5.0,15.0,75.0,1.0,8.0,0.0,,,,,,,,Dairy
Cream cheese,Dairy,97.0,350.0,55.0,101.0,2.0,34.0,0.0,9.0,11.0,9.0,89.0,55.0,0.0,2.0,1.0,107.0,15.0,132.0,62.0,20.0,86.0,314.0,,1111.0,308.0,2.0,22.0,23.0,9.0,52.0,6.0,0.0,5.0,27.0,0.0,18.0,32.0,66.0,57.0,1.0,19.0,29.0,35.0,38.0,23.0,7.0,4.0,0.0,86.0,21.0,13.0,1.0,0.0,0.0,4.0,81.0,,Dairy
Edam,Dairy,731.0,357.0,14.0,89.0,4.0,28.0,0.0,16.0,44.0,30.0,81.0,14.0,0.0,0.0,0.0,536.0,67.0,188.0,25.0,18.0,15.0,812.0,,825.0,243.0,4.0,15.0,39.0,8.0,28.0,8.0,0.0,38.0,15.0,,1.0,13.0,26.0,27.0,1.0,72.0,14.0,,14.0,93.0,35.0,18.0,5.0,24.0,23.0,,,,,,,,Dairy
Feta,Dairy,493.0,264.0,41.0,89.0,3.0,21.0,0.0,32.0,65.0,19.0,46.0,41.0,0.0,0.0,0.0,337.0,59.0,62.0,14.0,15.0,15.0,917.0,,422.0,125.0,15.0,17.0,84.0,99.0,97.0,42.0,0.0,29.0,15.0,,4.0,8.0,14.0,12.0,3.0,37.0,68.0,,41.0,64.0,2.0,11.0,4.0,18.0,18.0,,,,,,,,Dairy
Fontina,Dairy,550.0,389.0,16.0,116.0,3.0,31.0,0.0,6.0,23.0,14.0,87.0,16.0,0.0,0.0,0.0,346.0,17.0,64.0,26.0,19.0,15.0,800.0,,913.0,261.0,2.0,17.0,2.0,15.0,43.0,8.0,0.0,35.0,15.0,,96.0,14.0,27.0,23.0,1.0,71.0,15.0,,16.0,94.0,36.0,19.0,6.0,27.0,26.0,,,,,,,,Dairy
Brunost,Dairy,400.0,466.0,43.0,94.0,8.0,30.0,0.0,5.0,52.0,70.0,79.0,43.0,,,,444.0,94.0,1409.0,97.0,19.0,15.0,600.0,,1113.0,334.0,32.0,24.0,14.0,81.0,34.0,27.0,0.0,11.0,,,29.0,52.0,99.0,81.0,4.0,32.0,54.0,,,39.0,14.0,77.0,,,,,,,,,,,Dairy
Gouda cheese,Dairy,700.0,356.0,22.0,114.0,4.0,27.0,0.0,21.0,24.0,29.0,77.0,22.0,0.0,0.0,0.0,546.0,66.0,121.0,25.0,18.0,15.0,819.0,,563.0,165.0,3.0,15.0,33.0,6.0,34.0,8.0,0.0,39.0,15.0,,1.0,13.0,26.0,27.0,1.0,72.0,14.0,,22.0,93.0,35.0,18.0,5.0,24.0,23.0,,,,,,,,Dairy
Gruyere cheese,Dairy,1011.0,413.0,36.0,110.0,3.0,32.0,0.0,10.0,17.0,36.0,10.0,36.0,0.0,0.0,0.0,605.0,17.0,81.0,30.0,19.0,15.0,714.0,,948.0,271.0,6.0,16.0,28.0,11.0,56.0,8.0,0.0,39.0,15.0,,11.0,16.0,31.0,27.0,2.0,82.0,17.0,,36.0,11.0,42.0,22.0,6.0,28.0,27.0,,,,,,,,Dairy
Limburger,Dairy,497.0,327.0,49.0,90.0,2.0,27.0,0.0,58.0,13.0,21.0,86.0,49.0,0.0,0.0,0.0,393.0,5.0,128.0,20.0,17.0,15.0,800.0,,1155.0,340.0,8.0,1.0,5.0,16.0,12.0,9.0,0.0,21.0,15.0,,58.0,12.0,21.0,17.0,4.0,62.0,11.0,,49.0,74.0,29.0,14.0,5.0,23.0,23.0,,,,,,,,Dairy
